Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
B5_1_BY_PR_novel_SK,2024-07-12 14:51:40,,/Volumes/T7/29_06/B4_B5/cut/B5_1_BY_PR_novel.mp4,664.280,25.0,No focal subject,Eating,,,POINT,43.960,43.960,NA,,
B2_2_PP_BB_control_SK,2024-06-27 18:26:09,,/Volumes/T7/27_06/cut/B2_2_PP_BB_control.mp4,690.370,30.0,No focal subject,Test arena entry,,,POINT,44.533,44.533,NA,,
B2_4_PP_BB_novel_SK,2024-07-12 14:49:03,,/Volumes/T7/29_06/B2_B3/cut/B2_4_PP_BB_novel.mp4,705.220,30.0,No focal subject,Trial start,,,POINT,44.633,44.633,NA,,
B5_8_B_novel_SK,2024-07-11 15:49:22,,/Volumes/T7/6_7/cut/B5_8_B_novel.mp4,775.300,25.0,redblack,Zone of Interest,,,STATE,44.640,68.240,23.600,,
B2_2_YY_PP_control_SK,2024-06-27 18:27:47,,/Volumes/T7/27_06/cut/B2_2_YY_PP_control.mp4,682.900,30.0,No focal subject,Trial start,,,POINT,44.900,44.900,NA,,
B8_3_A_control_SK,2024-07-15 14:24:39,,/Volumes/T7/15_7/cut/B8_3_A_control.mp4,815.700,30.0,redblue,Zone of Interest,,,STATE,45.000,54.633,9.633,,
B5_8_B_novel_SK,2024-07-11 15:49:22,,/Volumes/T7/6_7/cut/B5_8_B_novel.mp4,775.300,25.0,redblue,Zone of Interest,,,STATE,45.080,60.920,15.840,,
B3_3_BP_BP_novel_SK,2024-06-28 20:20:02,,/Volumes/T7/28_6/cut/B3_3_BP_BP_novel.mp4,757.590,30.0,No focal subject,Trial start,,,POINT,45.233,45.233,NA,,
B6_1_A_control_SK,2024-07-10 14:56:15,,/Volumes/T7/10_7/cut/B6_1_A_control.mp4,654.930,30.0,black,Eating,,,POINT,45.400,45.400,NA,,
B4_7_A_control_SK,2024-07-11 12:56:37,,/Volumes/T7/5_7/cut/B4_7_A_control.mp4,656.880,25.0,redblue,Zone of Interest,,,STATE,45.520,87.240,41.720,,
B2_4_GR_PP_novel_SK,2024-07-12 14:48:12,,/Volumes/T7/29_06/B2_B3/cut/B2_4_GR_PP_novel.mp4,694.980,30.0,No focal subject,Test arena entry,,,POINT,45.533,45.533,NA,,
B2_2_BY_BP_control_SK,2024-06-27 18:26:29,,/Volumes/T7/27_06/cut/B2_2_BY_BP_control.mp4,702.780,30.0,No focal subject,Trial start,,,POINT,45.800,45.800,NA,,
B2_4_PP_BB_novel_SK,2024-07-12 14:49:03,,/Volumes/T7/29_06/B2_B3/cut/B2_4_PP_BB_novel.mp4,705.220,30.0,No focal subject,Test arena entry,,,POINT,46.067,46.067,NA,,
B5_1_RR_PP_novel_SK,2024-07-12 14:52:53,,/Volumes/T7/29_06/B4_B5/cut/B5_1_RR_PP_novel.mp4,691.030,25.0,No focal subject,Trial start,,,POINT,46.360,46.360,NA,,
B4_5_A_novel_SK,2024-07-13 10:37:10,,/Volumes/T7/3_7/cut/B4_5_A_novel.mov,647.800,30.0,red,Zone of Interest,,,STATE,46.433,58.367,11.934,,
B4_8_GY_RY_control_SK,2024-07-11 15:48:30,,/Volumes/T7/6_7/cut/B4_8_GY_RY_control.mp4,838.210,25.0,No focal subject,Zone of Interest,,,STATE,46.480,74.880,28.400,,
B2_2_PP_BB_control_SK,2024-06-27 18:26:09,,/Volumes/T7/27_06/cut/B2_2_PP_BB_control.mp4,690.370,30.0,No focal subject,Zone of Interest,,,STATE,46.533,330.267,283.734,,
B3_3_BP_BP_novel_SK,2024-06-28 20:20:02,,/Volumes/T7/28_6/cut/B3_3_BP_BP_novel.mp4,757.590,30.0,No focal subject,Test arena entry,,,POINT,46.567,46.567,NA,,
B2_4_BY_BP_novel_SK,2024-07-12 14:47:38,,/Volumes/T7/29_06/B2_B3/cut/B2_4_BY_BP_novel.mp4,703.080,30.0,No focal subject,Trial start,,,POINT,46.867,46.867,NA,,
B3_3_BP_GR_novel_SK,2024-06-28 20:20:21,,/Volumes/T7/28_6/cut/B3_3_BP_GR_novel.mp4,707.070,30.0,No focal subject,Trial start,,,POINT,46.867,46.867,NA,,
